id,named,lat,lng,own,dated
,각화동127,35.1810852,126.9318142,광주광역시 북구청,2020-06-30
,각화동128,35.1809589,126.9323774,광주광역시 북구청,2020-06-30
,각화동129,35.181013,126.933354,광주광역시 북구청,2020-06-30
,각화동130,35.180651,126.933183,광주광역시 북구청,2020-06-30
,각화동131,35.180308,126.933045,광주광역시 북구청,2020-06-30
,각화동132,35.180304,126.932638,광주광역시 북구청,2020-06-30
,각화동133,35.180233,126.932793,광주광역시 북구청,2020-06-30
,각화동134(스마트),35.179901,126.932973,광주광역시 북구청,2020-06-30
,각화동135,35.180058,126.933388,광주광역시 북구청,2020-06-30
,각화동136,35.179175,126.9376161,광주광역시 북구청,2020-06-30
,각화동137,35.179517,126.937468,광주광역시 북구청,2020-06-30
,각화동138,35.179805,126.937399,광주광역시 북구청,2020-06-30
,각화동139,35.1822679,126.9385165,광주광역시 북구청,2020-06-30
,각화동140,35.182464,126.939461,광주광역시 북구청,2020-06-30
,각화동141,35.1832309,126.9323122,광주광역시 북구청,2020-06-30
,각화동142,35.1821834,126.9300822,광주광역시 북구청,2020-06-30
,각화동143,35.1823416,126.9382656,광주광역시 북구청,2020-06-30
,금곡동001,35.170587,126.998192,광주광역시 북구청,2020-06-30
,금곡동002,35.170238,126.998459,광주광역시 북구청,2020-06-30
,금곡동003,35.169836,126.998936,광주광역시 북구청,2020-06-30
,금곡동004,35.170035,126.9987209,광주광역시 북구청,2020-06-30
,금곡동005,35.170883,126.999066,광주광역시 북구청,2020-06-30
,금곡동006,35.1710749,126.998746,광주광역시 북구청,2020-06-30
,금곡동007,35.170359,126.998908,광주광역시 북구청,2020-06-30
,금곡동008,35.170537,126.998697,광주광역시 북구청,2020-06-30
,금곡동009,35.170227,126.999272,광주광역시 북구청,2020-06-30
,금곡동010,35.170498,126.999367,광주광역시 북구청,2020-06-30
,금곡동011,35.170707,126.999595,광주광역시 북구청,2020-06-30
,금곡동012,35.170067,126.9995974,광주광역시 북구청,2020-06-30
,금곡동013,35.170194,126.999733,광주광역시 북구청,2020-06-30
,금곡동014,35.170561,127.0003097,광주광역시 북구청,2020-06-30
,금곡동015,35.1706804,127.000309,광주광역시 북구청,2020-06-30
,금곡동016,35.171117,127.000084,광주광역시 북구청,2020-06-30
,금곡동017,35.170807,127.000824,광주광역시 북구청,2020-06-30
,금곡동018,35.171021,127.001557,광주광역시 북구청,2020-06-30
,금곡동019,35.170919,127.001261,광주광역시 북구청,2020-06-30
,금곡동020,35.170718,127.000891,광주광역시 북구청,2020-06-30
,금곡동021,35.170317,127.000434,광주광역시 북구청,2020-06-30
,금곡동022,35.169801,127.000133,광주광역시 북구청,2020-06-30
,금곡동024,35.1703721,126.999269,광주광역시 북구청,2020-06-30
,금곡동025,35.169705,126.998312,광주광역시 북구청,2020-06-30
,금곡동026,35.170308,126.998184,광주광역시 북구청,2020-06-30
,금곡동027,35.169502,126.996624,광주광역시 북구청,2020-06-30
,금곡동028,35.169439,126.997811,광주광역시 북구청,2020-06-30
,금곡동029,35.169657,126.998017,광주광역시 북구청,2020-06-30
,금곡동030,35.169916,126.997651,광주광역시 북구청,2020-06-30
,금곡동031,35.169959,126.997453,광주광역시 북구청,2020-06-30
,금곡동032,35.163764,126.983018,광주광역시 북구청,2020-06-30
,금곡동033,35.163937,126.983323,광주광역시 북구청,2020-06-30
,금곡동034,35.164324,126.983252,광주광역시 북구청,2020-06-30
,금곡동035,35.165134,126.9830954,광주광역시 북구청,2020-06-30
,금곡동036,35.165566,126.982962,광주광역시 북구청,2020-06-30
,금곡동037,35.163437,126.982703,광주광역시 북구청,2020-06-30
,금곡동038,35.163118,126.982334,광주광역시 북구청,2020-06-30
,금곡동039,35.1640138,126.981985,광주광역시 북구청,2020-06-30
,금곡동040,35.165115,126.979973,광주광역시 북구청,2020-06-30
,금곡동041,35.165304,126.979629,광주광역시 북구청,2020-06-30
,금곡동042,35.166834,126.978358,광주광역시 북구청,2020-06-30
,금곡동043,35.164672,126.979582,광주광역시 북구청,2020-06-30
,금곡동044,35.164824,126.979393,광주광역시 북구청,2020-06-30
,금곡동045,35.164375,126.979618,광주광역시 북구청,2020-06-30
,금곡동046,35.164621,126.978814,광주광역시 북구청,2020-06-30
,금곡동047,35.164077,126.9794796,광주광역시 북구청,2020-06-30
,금곡동049,35.163312,126.979741,광주광역시 북구청,2020-06-30
,금곡동050,35.162962,126.979822,광주광역시 북구청,2020-06-30
,금곡동051,35.162593,126.979893,광주광역시 북구청,2020-06-30
,금곡동052,35.162188,126.979975,광주광역시 북구청,2020-06-30
,금곡동054,35.171057,126.999426,광주광역시 북구청,2020-06-30
,금곡동055,35.170856,126.997969,광주광역시 북구청,2020-06-30
,금곡동056,35.171239,126.997661,광주광역시 북구청,2020-06-30
,금곡동057,35.171861,126.997474,광주광역시 북구청,2020-06-30
,금곡동058,35.171511,126.997588,광주광역시 북구청,2020-06-30
,금곡동059,35.172158,126.997415,광주광역시 북구청,2020-06-30
,금곡동060,35.172672,126.997354,광주광역시 북구청,2020-06-30
,금곡동061,35.173131,126.997348,광주광역시 북구청,2020-06-30
,금곡동062,35.173651,126.997272,광주광역시 북구청,2020-06-30
,금곡동063,35.174085,126.997172,광주광역시 북구청,2020-06-30
,금곡동064,35.174973,126.997075,광주광역시 북구청,2020-06-30
,금곡동065,35.175068,126.997138,광주광역시 북구청,2020-06-30
,금곡동066,35.175535,126.996956,광주광역시 북구청,2020-06-30
,금곡동067,35.175993,126.996786,광주광역시 북구청,2020-06-30
,금곡동068,35.176433,126.996616,광주광역시 북구청,2020-06-30
,금곡동069,35.176865,126.996457,광주광역시 북구청,2020-06-30
,금곡동070,35.164779,126.9787818,광주광역시 북구청,2020-06-30
,금곡동071,35.1636807,126.9796343,광주광역시 북구청,2020-06-30
,금곡동072,35.1702329,126.9970222,광주광역시 북구청,2020-06-30
,누문동001,35.155971,126.904848,광주광역시 북구청,2020-06-30
,누문동002,35.155229,126.903621,광주광역시 북구청,2020-06-30
,누문동003,35.154983,126.903182,광주광역시 북구청,2020-06-30
,누문동004,35.155147,126.903421,광주광역시 북구청,2020-06-30
,누문동005,35.1551098,126.903772,광주광역시 북구청,2020-06-30
,누문동006,35.154873,126.904028,광주광역시 북구청,2020-06-30
,누문동007,35.155155,126.904288,광주광역시 북구청,2020-06-30
,누문동008,35.155362,126.9043948,광주광역시 북구청,2020-06-30
,누문동009,35.155198,126.904024,광주광역시 북구청,2020-06-30
,누문동010,35.155105,126.904782,광주광역시 북구청,2020-06-30
,누문동011,35.155311,126.904659,광주광역시 북구청,2020-06-30
,누문동012,35.155562,126.904491,광주광역시 북구청,2020-06-30
,누문동013,35.155538,126.904842,광주광역시 북구청,2020-06-30
,누문동014,35.155182,126.905286,광주광역시 북구청,2020-06-30
,누문동015,35.154972,126.9049799,광주광역시 북구청,2020-06-30
,누문동016,35.154744,126.904754,광주광역시 북구청,2020-06-30
,누문동017,35.154477,126.905032,광주광역시 북구청,2020-06-30
,누문동018,35.154684,126.905062,광주광역시 북구청,2020-06-30
,누문동019,35.154395,126.904978,광주광역시 북구청,2020-06-30
,누문동020,35.154517,126.904472,광주광역시 북구청,2020-06-30
,누문동021,35.154784,126.904128,광주광역시 북구청,2020-06-30
,누문동022,35.154347,126.904246,광주광역시 북구청,2020-06-30
,누문동023,35.154267,126.904804,광주광역시 북구청,2020-06-30
,누문동024,35.154009,126.905115,광주광역시 북구청,2020-06-30
,누문동025,35.153522,126.905188,광주광역시 북구청,2020-06-30
,누문동026,35.153796,126.905546,광주광역시 북구청,2020-06-30
,누문동027,35.154128,126.905377,광주광역시 북구청,2020-06-30
,누문동028,35.153673,126.905833,광주광역시 북구청,2020-06-30
,누문동029,35.154033,126.905773,광주광역시 북구청,2020-06-30
,누문동030,35.153864,126.906116,광주광역시 북구청,2020-06-30
,누문동031,35.154074,126.906355,광주광역시 북구청,2020-06-30
,누문동032,35.154293,126.906626,광주광역시 북구청,2020-06-30
,누문동033,35.1556047,126.9047437,광주광역시 북구청,2020-06-30
,누문동034,35.154287,126.905957,광주광역시 북구청,2020-06-30
,누문동035,35.154327,126.905484,광주광역시 북구청,2020-06-30
,누문동036,35.154435,126.905417,광주광역시 북구청,2020-06-30
,누문동037,35.154406,126.906197,광주광역시 북구청,2020-06-30
,누문동038,35.154503,126.905965,광주광역시 북구청,2020-06-30
,누문동039,35.154647,126.905897,광주광역시 북구청,2020-06-30
,누문동040,35.154597,126.906435,광주광역시 북구청,2020-06-30
,누문동041,35.153197,126.909033,광주광역시 북구청,2020-06-30
,누문동042,35.153481,126.9085581,광주광역시 북구청,2020-06-30
,누문동043,35.153712,126.908225,광주광역시 북구청,2020-06-30
,누문동044,35.1537641,126.908191,광주광역시 북구청,2020-06-30
,누문동045,35.154037,126.908289,광주광역시 북구청,2020-06-30
,누문동046,35.154188,126.908043,광주광역시 북구청,2020-06-30
,누문동047,35.154047,126.908418,광주광역시 북구청,2020-06-30
,누문동048,35.153996,126.907728,광주광역시 북구청,2020-06-30
,누문동049,35.154352,126.907207,광주광역시 북구청,2020-06-30
,누문동050,35.154574,126.907071,광주광역시 북구청,2020-06-30
,누문동051,35.154832,126.906421,광주광역시 북구청,2020-06-30
,누문동052,35.1548515,126.906597,광주광역시 북구청,2020-06-30
,누문동053,35.154944,126.906848,광주광역시 북구청,2020-06-30
,누문동054,35.154828,126.907047,광주광역시 북구청,2020-06-30
,누문동055,35.154587,126.907336,광주광역시 북구청,2020-06-30
,누문동056,35.154446,126.907634,광주광역시 북구청,2020-06-30
,누문동057,35.155234,126.907096,광주광역시 북구청,2020-06-30
,누문동058,35.155178,126.905846,광주광역시 북구청,2020-06-30
,누문동059,35.155044,126.906034,광주광역시 북구청,2020-06-30
,누문동060,35.155253,126.906207,광주광역시 북구청,2020-06-30
,누문동061,35.155453,126.906347,광주광역시 북구청,2020-06-30
,누문동062,35.1552519,126.905757,광주광역시 북구청,2020-06-30
,누문동063,35.155347,126.905602,광주광역시 북구청,2020-06-30
,누문동064,35.155472,126.905436,광주광역시 북구청,2020-06-30
,누문동065,35.155757,126.905114,광주광역시 북구청,2020-06-30
,누문동066,35.156077,126.905549,광주광역시 북구청,2020-06-30
,누문동067,35.156232,126.905744,광주광역시 북구청,2020-06-30
,누문동068,35.154329,126.907842,광주광역시 북구청,2020-06-30
,대촌동001,35.236847,126.856466,광주광역시 북구청,2020-06-30
,대촌동002,35.2373717,126.856089,광주광역시 북구청,2020-06-30
,대촌동003,35.237426,126.855766,광주광역시 북구청,2020-06-30
,대촌동004,35.237693,126.855411,광주광역시 북구청,2020-06-30
,대촌동005,35.237899,126.855177,광주광역시 북구청,2020-06-30
,대촌동006,35.238145,126.854515,광주광역시 북구청,2020-06-30
,대촌동007,35.239161,126.853303,광주광역시 북구청,2020-06-30
,대촌동008,35.236379,126.854671,광주광역시 북구청,2020-06-30
,대촌동009,35.2367881,126.854624,광주광역시 북구청,2020-06-30
,대촌동010,35.237009,126.854465,광주광역시 북구청,2020-06-30
,대촌동011,35.237239,126.854099,광주광역시 북구청,2020-06-30
,대촌동012,35.237373,126.853954,광주광역시 북구청,2020-06-30
,대촌동013,35.237507,126.8538889,광주광역시 북구청,2020-06-30
,대촌동014,35.237589,126.852907,광주광역시 북구청,2020-06-30
,대촌동015,35.237311,126.853054,광주광역시 북구청,2020-06-30
,대촌동016,35.237677,126.852664,광주광역시 북구청,2020-06-30
,대촌동017,35.237765,126.852498,광주광역시 북구청,2020-06-30
,대촌동018,35.237898,126.852255,광주광역시 북구청,2020-06-30
,대촌동019,35.23809259,126.851483,광주광역시 북구청,2020-06-30
,대촌동020,35.237697,126.851972,광주광역시 북구청,2020-06-30
,대촌동021,35.236853,126.8532024,광주광역시 북구청,2020-06-30
,대촌동022,35.236691,126.853261,광주광역시 북구청,2020-06-30
,대촌동023,35.236697,126.853909,광주광역시 북구청,2020-06-30
,대촌동024,35.236561,126.853889,광주광역시 북구청,2020-06-30
,대촌동025,35.236017,126.854479,광주광역시 북구청,2020-06-30
,대촌동026,35.235903,126.853843,광주광역시 북구청,2020-06-30
,대촌동027,35.235919,126.853678,광주광역시 북구청,2020-06-30
,대촌동028,35.236225,126.853542,광주광역시 북구청,2020-06-30
,대촌동029,35.236354,126.852958,광주광역시 북구청,2020-06-30
,대촌동030,35.236535,126.852043,광주광역시 북구청,2020-06-30
,대촌동031,35.236895,126.851972,광주광역시 북구청,2020-06-30
,대촌동032,35.236937,126.851697,광주광역시 북구청,2020-06-30
,대촌동033,35.237039,126.851025,광주광역시 북구청,2020-06-30
,대촌동034,35.237232,126.850462,광주광역시 북구청,2020-06-30
,대촌동035,35.236529,126.852329,광주광역시 북구청,2020-06-30
,대촌동036,35.235659,126.852847,광주광역시 북구청,2020-06-30
,대촌동037,35.235803,126.852812,광주광역시 북구청,2020-06-30
,대촌동038,35.237011,126.853729,광주광역시 북구청,2020-06-30
,대촌동039,35.2366238,126.8550582,광주광역시 북구청,2020-06-30
,덕의동001,35.181043,126.994891,광주광역시 북구청,2020-06-30
,덕의동002,35.181156,126.994373,광주광역시 북구청,2020-06-30
,덕의동003,35.181467,126.993842,광주광역시 북구청,2020-06-30
,덕의동004,35.181779,126.993421,광주광역시 북구청,2020-06-30
,덕의동005,35.181882,126.992783,광주광역시 북구청,2020-06-30
,덕의동006,35.181707,126.992346,광주광역시 북구청,2020-06-30
,덕의동007,35.1814895,126.9919666,광주광역시 북구청,2020-06-30
,덕의동008,35.181902,126.989731,광주광역시 북구청,2020-06-30
,덕의동009,35.181969,126.989181,광주광역시 북구청,2020-06-30
,덕의동010,35.182143,126.988391,광주광역시 북구청,2020-06-30
,덕의동011,35.1817832,126.986951,광주광역시 북구청,2020-06-30
,덕의동012,35.182028,126.986447,광주광역시 북구청,2020-06-30
,덕의동014,35.181357,126.985994,광주광역시 북구청,2020-06-30
,덕의동015,35.181085,126.985778,광주광역시 북구청,2020-06-30
,덕의동016,35.180687,126.985662,광주광역시 북구청,2020-06-30
,덕의동017,35.180683,126.985157,광주광역시 북구청,2020-06-30
,덕의동018,35.180935,126.985187,광주광역시 북구청,2020-06-30
,덕의동019,35.181188,126.985227,광주광역시 북구청,2020-06-30
,덕의동020,35.180915,126.984912,광주광역시 북구청,2020-06-30
,덕의동021,35.181084,126.984625,광주광역시 북구청,2020-06-30
,덕의동022,35.180285,126.996798,광주광역시 북구청,2020-06-30
,덕의동023,35.180232,126.995955,광주광역시 북구청,2020-06-30
,덕의동025,35.180643,126.984729,광주광역시 북구청,2020-06-30
,덕의동026,35.180769,126.984739,광주광역시 북구청,2020-06-30
,덕의동027,35.180523,126.984379,광주광역시 북구청,2020-06-30
,덕의동028,35.180327,126.995448,광주광역시 북구청,2020-06-30
,덕의동029,35.1803916,126.9839506,광주광역시 북구청,2020-06-30
,덕의동030,35.180136,126.996239,광주광역시 북구청,2020-06-30
,덕의동031,35.1813253,126.9915118,광주광역시 북구청,2020-06-30
,덕의동032,35.1827702,126.9856159,광주광역시 북구청,2020-06-30
,덕의동033,35.1836666,126.9854455,광주광역시 북구청,2020-06-30
,덕의동034,35.1842451,126.984717,광주광역시 북구청,2020-06-30
,동림동001,35.188014,126.868361,광주광역시 북구청,2020-06-30
,동림동002,35.188157,126.868271,광주광역시 북구청,2020-06-30
,동림동003,35.188428,126.868344,광주광역시 북구청,2020-06-30
,동림동004,35.188538,126.868485,광주광역시 북구청,2020-06-30
,동림동005,35.1882051,126.868638,광주광역시 북구청,2020-06-30
,동림동006,35.188668,126.868879,광주광역시 북구청,2020-06-30
,동림동007,35.188252,126.868796,광주광역시 북구청,2020-06-30
,동림동008,35.187945,126.868735,광주광역시 북구청,2020-06-30
,동림동009,35.1888248,126.8692098,광주광역시 북구청,2020-06-30
,동림동010,35.1890747,126.8695868,광주광역시 북구청,2020-06-30
,동림동011,35.1892696,126.8697885,광주광역시 북구청,2020-06-30
,동림동012,35.1894374,126.8699684,광주광역시 북구청,2020-06-30
,동림동013,35.1896595,126.8702029,광주광역시 북구청,2020-06-30
,동림동014,35.1897865,126.8703502,광주광역시 북구청,2020-06-30
,동림동015,35.1898238,126.8705915,광주광역시 북구청,2020-06-30
,동림동016,35.1897986,126.8709487,광주광역시 북구청,2020-06-30
,동림동017,35.189571,126.870996,광주광역시 북구청,2020-06-30
,동림동018,35.189273,126.870901,광주광역시 북구청,2020-06-30
,동림동019,35.188929,126.870807,광주광역시 북구청,2020-06-30
,동림동020,35.188522,126.870648,광주광역시 북구청,2020-06-30
,동림동021,35.188115,126.870544,광주광역시 북구청,2020-06-30
,동림동022,35.187817,126.870461,광주광역시 북구청,2020-06-30
,동림동023,35.187196,126.870491,광주광역시 북구청,2020-06-30
,동림동024,35.186844,126.870496,광주광역시 북구청,2020-06-30
,동림동025,35.186412,126.870535,광주광역시 북구청,2020-06-30
,동림동026,35.187549,126.867223,광주광역시 북구청,2020-06-30
,동림동027,35.187426,126.867172,광주광역시 북구청,2020-06-30
,동림동028,35.187128,126.867066,광주광역시 북구청,2020-06-30
,동림동029,35.187431,126.866777,광주광역시 북구청,2020-06-30
,동림동030,35.187658,126.866916,광주광역시 북구청,2020-06-30
,동림동031,35.187879,126.866441,광주광역시 북구청,2020-06-30
,동림동032,35.187175,126.866341,광주광역시 북구청,2020-06-30
,동림동033,35.187402,126.865547,광주광역시 북구청,2020-06-30
,동림동034,35.187417,126.865229,광주광역시 북구청,2020-06-30
,동림동035,35.187544,126.865337,광주광역시 북구청,2020-06-30
,동림동036,35.187647,126.865698,광주광역시 북구청,2020-06-30
,동림동037,35.191261,126.862825,광주광역시 북구청,2020-06-30
,동림동038,35.190793,126.862876,광주광역시 북구청,2020-06-30
,동림동039,35.190334,126.862937,광주광역시 북구청,2020-06-30
,동림동040,35.187023,126.864509,광주광역시 북구청,2020-06-30
,동림동041,35.186963,126.863972,광주광역시 북구청,2020-06-30
,동림동042,35.187153,126.864014,광주광역시 북구청,2020-06-30
,동림동043(스마트),35.186726,126.8638133,광주광역시 북구청,2020-06-30
,동림동044,35.186552,126.863385,광주광역시 북구청,2020-06-30
,동림동045,35.186395,126.862981,광주광역시 북구청,2020-06-30
,동림동046,35.186322,126.862894,광주광역시 북구청,2020-06-30
,동림동047,35.186185,126.862698,광주광역시 북구청,2020-06-30
